Name,Platform,Year,Genre,Publisher,ID,Date
Backyard NBA Basketball,PS2,2003,Sports,Atari,8433,15/03/2003
Dead or Alive,SAT,1997,Fighting,Tecmo Koei,13019,03/06/1997
San Goku Shi V,SAT,1996,Strategy,Tecmo Koei,14751,04/06/1996
Streak: Hoverboard Racing,PS,1998,Racing,GT Interactive,13773,24/12/1998
Little Busters! Converted Edition,PSV,2012,Action,Prototype,19857,12/09/2012
Kaizoku Sentai Gokaiger: Atsumete Henshin! 35 Sentai!,DS,2011,Action,Namco Bandai Games,19735,18/03/2011
MindJack,X360,2011,Shooter,Square Enix,15813,03/05/2011
Army Rescue,Wii,2009,Shooter,UFO Interactive,20497,26/04/2009
NBA Jam,PS2,2003,Sports,Acclaim Entertainment,9674,12/09/2003
X-Men: Children of the Atom,SAT,1995,Fighting,Acclaim Entertainment,12464,26/10/1995
Nintendogs + cats,3DS,2011,Simulation,Nintendo,5321,04/06/2011
DoDonPachi Dai-Oujou: Black Label Extra,X360,2009,Shooter,5pb,19928,17/01/2009
Manhunt 2,PS2,2007,Action,Take-Two Interactive,8592,23/06/2007
Disney Sing It! High School Musical 3: Senior Year,PS2,2008,Misc,Disney Interactive Studios,9384,12/12/2008
LEGO Rock Band,X360,2009,Misc,Warner Bros. Interactive Entertainment,8554,19/05/2009
Barnstorming,2600,1981,Action,Activision,9517,25/12/1981
Sigma Star Saga,GBA,2005,Role-Playing,Atari,18027,17/09/2005
Babysitting Mania,DS,2008,Simulation,Majesco Entertainment,11497,23/05/2008
Rainbow Islands: Revolution,PSP,2005,Action,Rising Star Games,21295,04/11/2005
Rango: The Video Game,DS,2011,Action,Electronic Arts,14953,17/01/2011
Pro Yakyuu Team o Tsukurou!,SAT,1998,Sports,Sega,11704,06/01/1998
MotoGP '06,X360,2006,Racing,THQ,14274,25/01/2006
Dynasty Warriors 8: Empires,PS4,2014,Action,Tecmo Koei,13025,06/07/2014
LEGO The Lord of the Rings,X360,2012,Action,Warner Bros. Interactive Entertainment,6580,23/08/2012
Zangeki no Reginleiv,Wii,2010,Action,Nintendo,15099,04/04/2010
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,7212,07/04/2016
Scooby-Doo 2: Monsters Unleashed,GBA,2004,Action,THQ,7880,17/03/2004
The Sims 2: Open for Business,PC,2006,Simulation,Electronic Arts,8871,25/05/2006
UFC Undisputed 3,PS3,2012,Action,THQ,6975,18/08/2012
Codename: Kids Next Door: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,13341,23/08/2004
7 Wonders of the Ancient World,DS,2007,Puzzle,Funsta,14542,16/04/2007
TimeSplitters 2,XB,2002,Shooter,Eidos Interactive,8161,18/03/2002
Shitsuji ga Aruji o Erabu Toki,PSV,2016,Adventure,Unknown,21235,25/10/2016
ArmA II,PC,2009,Shooter,505 Games,14046,08/07/2009
Digimon World: Next Order,PSV,2016,Action,Namco Bandai Games,15889,14/07/2016
uDraw Studio: Instant Artist,Wii,2011,Misc,THQ,12835,06/11/2011
The Sims 2: Pets,PSP,2006,Simulation,Electronic Arts,7570,20/02/2006
Dead to Rights: Retribution,PS3,2010,Shooter,Namco Bandai Games,11151,26/07/2010
XGIII: Extreme G Racing,PS2,2001,Racing,Acclaim Entertainment,11371,08/12/2001
Rodea the Sky Soldier,WiiU,2015,Action,Nippon Ichi Software,14905,01/04/2015
Roogoo Attack!,DS,2009,Puzzle,SouthPeak Games,16847,12/11/2009
Shark Tale,XB,2004,Action,Activision,12659,22/08/2004
NBA Live 2000,N64,1999,Sports,Electronic Arts,9414,15/07/1999
Sonic & All-Stars Racing Transformed,X360,2012,Racing,Sega,8222,26/01/2012
Machi: Unmei no Kousaten,PSP,2006,Adventure,ChunSoft,20683,14/06/2006
Petz Nursery,DS,2009,Simulation,Ubisoft,8478,01/01/2009
Cartoon Network Collection: Game Boy Advance Video Platinum Edition,GBA,2005,Misc,N/A,10647,14/06/2005
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Wii,2011,Action,THQ,16198,09/04/2011
The Lord of the Rings: The Fellowship of the Ring,XB,2002,Action,Universal Interactive,8791,10/01/2002
Burstrick: Wake Boarding!!,PS,2000,Sports,Natsume,11289,08/07/2000
Castrol Honda Superbike Racing,PS,1998,Racing,THQ,14395,05/04/1998
Gaist Crusher,3DS,2013,Action,Capcom,18304,25/07/2013
Halloween,2600,1982,Action,Wizard Video Games,8266,19/08/1982
