ID,NA_Sales,EU_Sales,JP_Sales,Other_Sales
17934,0.03,0.02,0,0
17685,0,0,0.06,0
13853,0.09,0.04,0,0.03
14624,0.12,0,0,0.01
5125,3.25,1.84,1.03,0.47
13562,0.12,0.04,0,0
19589,0.03,0,0,0
11991,0,0.19,0,0.05
6026,0.64,0.68,0.14,0.26
20669,0,0,0.02,0
8059,0.37,0.25,0,0.04
16964,0.03,0.03,0,0.01
19735,0,0,0.03,0
7525,0.4,0.33,0,0.09
12155,0,0,0.22,0
21274,0,0.01,0,0
5068,5.84,2.89,0.01,0.78
7588,0.54,0.19,0,0.06
14321,0.08,0.04,0,0.01
11679,0.16,0.08,0,0.01
6394,1.05,0.17,0.15,0.02
19265,0,0.03,0,0.01
15239,0.09,0.01,0,0.01
7275,0.45,0.35,0,0.12
7448,0.26,0.1,0.44,0.04
5237,3.19,0.92,0.01,0.42
9903,0.39,0,0,0
19825,0,0.02,0,0.01
14747,0.1,0.01,0,0.01
14763,0.11,0,0,0.01
7901,0.15,0.39,0.01,0.16
17452,0,0.05,0,0.01
17524,0.05,0.01,0,0.01
21495,0,0,0.01,0
8745,0.3,0.2,0,0.04
12376,0.11,0.07,0,0.03
16361,0,0.06,0.01,0.01
12044,0.15,0.05,0,0.03
15253,0.08,0.02,0,0
17046,0.01,0.05,0,0.01
16196,0.08,0,0,0.01
6970,0.27,0.66,0,0.12
18936,0,0,0.04,0
19213,0,0,0.03,0
11210,0.1,0.03,0.12,0.04
12384,0.07,0.1,0.01,0.04
5840,1.05,0.67,0,0.3
19650,0.03,0,0,0
8917,0.44,0.03,0,0.04
9804,0.3,0.03,0.04,0.03
20625,0,0,0.02,0
7006,0.52,0.06,0.41,0.05
8043,0,0.58,0,0.09
14801,0.08,0.02,0.01,0.01
10955,0.28,0,0,0.02
8563,0.4,0.15,0,0.01
7586,0.04,0.33,0.26,0.17
20440,0,0,0.02,0
15566,0.07,0.02,0,0.01
7702,0.29,0.39,0,0.08
15189,0.08,0.02,0,0
17027,0.06,0,0,0
20460,0,0.02,0,0
9144,0.15,0.27,0,0.06
5469,1.15,0,0.76,1.09
10408,0.31,0,0,0.02
5126,2.55,2.71,0.25,1.05
8886,0.35,0.12,0,0.04
19665,0,0,0.03,0
19150,0.03,0,0,0
19955,0,0.02,0,0
20718,0,0.01,0,0
13146,0,0,0.18,0
5825,1.47,0.48,0.05,0.06
5726,0.88,1.03,0,0.31
10230,0.18,0.12,0,0.06
18359,0.03,0.01,0,0
16982,0.06,0.01,0,0
6044,0.88,0.34,0.32,0.18
17234,0.02,0.04,0,0
10019,0.19,0.15,0,0.05
12399,0.16,0.04,0,0.01
7973,0.34,0,0.33,0.02
8300,0.3,0.23,0,0.08
7106,0.21,0.62,0,0.14
11029,0.23,0.06,0,0
11677,0.19,0.05,0,0.01
9331,0.41,0.01,0,0.03
15523,0.08,0.02,0,0
5772,0.91,0.05,1.07,0.09
19227,0,0,0.03,0
11586,0,0,0.26,0
7130,0.73,0.21,0,0.03
14185,0.08,0.05,0,0.01
20126,0,0,0.02,0
16219,0.07,0.01,0,0.01
16830,0.05,0.02,0,0
10088,0.19,0.03,0.13,0.02
12680,0.17,0.01,0,0.02
15241,0.1,0,0,0.01
17197,0.02,0,0.05,0
10965,0.25,0.01,0,0.03
18971,0,0,0.04,0
19978,0,0,0.02,0
13280,0.06,0.04,0.04,0.03
10702,0.1,0.18,0,0.03
10595,0.18,0.11,0,0.03
13430,0,0,0.17,0
9984,0.21,0.15,0,0.03
12716,0.15,0.04,0,0.01
20632,0.01,0,0,0
6339,0.92,0.4,0,0.12
10706,0.29,0,0,0.02
15990,0.09,0,0,0.01
19193,0.03,0.01,0,0
17219,0.06,0,0,0.01
12658,0.05,0.13,0,0.02
12554,0.15,0.04,0,0.01
15449,0,0.09,0,0.01
9314,0.21,0.21,0,0.04
8407,0.46,0.12,0,0.02
13076,0,0,0.18,0
19126,0,0,0.03,0
6702,0.46,0.31,0.33,0.08
18949,0.03,0,0,0
9670,0,0,0.42,0
9028,0.41,0.01,0,0.07
7502,0.46,0.31,0,0.05
17453,0,0.05,0,0.01
18076,0,0,0.05,0
5552,0.99,0.48,1.09,0.14
17767,0,0,0.06,0
17345,0.03,0.03,0,0.01
15316,0,0,0.11,0
10450,0.24,0.09,0,0.01
14461,0,0,0.13,0
14591,0.05,0.07,0,0.01
7204,0.26,0.29,0.33,0.05
20995,0,0.01,0,0
16775,0.07,0,0,0.01
9529,0.24,0.15,0,0.04
10760,0.31,0,0,0
5499,0.99,0.32,1.38,0.2
9236,0.21,0.17,0.01,0.07
6274,0.61,0.73,0,0.15
16384,0,0,0.08,0
16481,0.06,0.02,0,0
15080,0.06,0.04,0,0.01
16251,0.03,0.01,0.04,0.01
17499,0,0,0.06,0
13551,0.12,0.03,0,0
8506,0.29,0.23,0,0.06
13715,0.11,0.04,0,0
11592,0,0.21,0,0.05
7531,0,0,0.81,0
12708,0.11,0.07,0,0.01
20975,0.01,0,0,0
12390,0.06,0.05,0.08,0.02
5226,1.87,1.12,1.32,0.37
16810,0.05,0.02,0,0
9584,0.24,0.16,0,0.03
10400,0.32,0.02,0,0
10546,0,0,0.33,0
6792,0.46,0.17,0.48,0.02
10940,0.16,0.1,0,0.03
20420,0.01,0,0,0
10984,0.11,0.03,0,0.15
15091,0.06,0.04,0,0.01
17330,0.06,0,0,0
11495,0.13,0.06,0.05,0.02
7146,0.21,0.31,0.28,0.16
16346,0.08,0,0,0.01
10852,0.22,0.08,0,0.01
18153,0.03,0.01,0,0
15675,0.06,0.04,0,0.01
7579,0.08,0.46,0,0.25
10829,0,0,0.3,0
12908,0.18,0,0,0.01
7300,0.28,0.48,0,0.14
9119,0.41,0.07,0,0
8885,0.08,0.05,0.35,0.03
12336,0.09,0.02,0.08,0.03
15243,0.09,0,0.01,0.01
13289,0.12,0.05,0,0
13357,0,0,0.17,0
7351,0.49,0.34,0,0.06
10811,0.23,0.07,0,0.01
5086,2.91,2.07,2.73,0.33
20985,0,0.01,0,0
12559,0.16,0.03,0,0.02
6574,0.61,0.42,0.13,0.1
10806,0.29,0,0,0.02
13519,0.13,0.03,0,0
17750,0,0.05,0,0.01
5634,1.07,1.19,0,0.18
11133,0,0,0.28,0
19088,0.02,0.01,0,0
10352,0,0,0.34,0
14924,0.02,0.02,0.06,0.01
16916,0.01,0.04,0,0.01
8895,0,0,0.51,0
7473,0.41,0.32,0,0.11
18974,0,0,0.04,0
12971,0.14,0.04,0,0.01
16763,0,0.07,0,0.01
9979,0.21,0.15,0,0.03
19800,0.02,0,0,0
14350,0,0,0.13,0
8165,0.07,0.43,0,0.14
16289,0.08,0,0,0.01
14189,0.11,0.03,0,0.01
5860,0.74,0.95,0,0.28
13588,0.13,0.03,0,0
5360,1.56,1.4,0.07,0.5
8288,0.46,0.13,0,0.02
5498,0.71,1.51,0.06,0.61
21450,0,0.01,0,0
13110,0.14,0.02,0,0.02
15308,0.08,0.02,0,0
20760,0.01,0.01,0,0
11930,0,0.21,0,0.02
6977,0.3,0.48,0.12,0.15
14107,0,0,0.14,0
12989,0.09,0.07,0,0.02
9688,0.34,0.01,0,0.06
11567,0.08,0.15,0,0.03
6593,1.19,0.05,0,0
20917,0,0,0.02,0
14144,0.06,0.07,0,0.01
6575,0.49,0.52,0.03,0.21
8866,0.25,0.2,0,0.07
18957,0.03,0,0,0
7225,0.29,0.52,0.02,0.11
14398,0.12,0,0,0.01
16759,0,0,0.07,0
13504,0.11,0.04,0,0.01
9533,0.15,0.22,0,0.06
9187,0.28,0.17,0,0.01
6868,0.26,0.1,0.72,0.02
20583,0,0.01,0,0
18134,0,0.04,0,0.01
6713,0.48,0.49,0.01,0.2
7178,0.65,0.22,0,0.09
7266,0.86,0,0,0.06
9284,0.3,0.12,0,0.04
6742,0.38,0.52,0.01,0.25
6679,0.72,0.43,0.01,0.04
19675,0,0,0.03,0
11903,0.19,0,0.03,0.02
9024,0.21,0.2,0,0.08
15598,0.09,0,0,0.01
12227,0.18,0.04,0,0
20523,0.01,0.01,0,0
11613,0.12,0.1,0,0.03
14570,0.06,0.05,0,0.02
19608,0,0,0.03,0
6699,0.86,0.27,0.01,0.04
18984,0.03,0.01,0,0
19500,0,0.02,0,0.01
10825,0.22,0.08,0,0.01
12008,0.18,0.05,0,0.01
6602,0.65,0.41,0,0.19
21200,0,0,0.01,0
19514,0,0,0.03,0
16971,0,0,0.07,0
12358,0.16,0.05,0,0.01
20446,0,0,0.02,0
17588,0.05,0.01,0,0
6872,0.24,0.55,0,0.31
21170,0,0,0.01,0
17463,0,0,0.06,0
20487,0.01,0,0,0
13855,0,0.04,0.09,0.02
8894,0.25,0.21,0,0.05
13408,0.08,0.06,0,0.02
10004,0,0,0.38,0
16841,0.04,0.02,0,0.01
11831,0.17,0.05,0,0.02
20010,0,0.02,0,0
15881,0,0,0.09,0
19487,0.02,0.01,0,0
18106,0.04,0.01,0,0
16684,0.07,0,0,0.01
6936,0.59,0.4,0,0.07
19292,0.02,0.01,0,0
14563,0,0,0.13,0
10090,0.32,0.03,0,0.03
20713,0.02,0,0,0
12510,0.1,0.08,0,0.03
19824,0.02,0.01,0,0
12648,0.02,0.15,0,0.02
18230,0,0,0.05,0
15725,0.05,0.04,0,0.01
17051,0.04,0.03,0,0
6509,0.64,0.5,0,0.17
19541,0.02,0.01,0,0
15067,0.11,0,0,0.01
20112,0.01,0.01,0,0
9590,0.34,0.04,0.01,0.04
17737,0.05,0,0,0
18608,0.03,0.01,0,0
20846,0,0,0.02,0
17873,0.04,0.01,0,0
9497,0.41,0.02,0,0
12662,0.1,0.08,0,0.03
19187,0.02,0.01,0,0
11798,0,0,0.23,0.02
5344,0.71,1.8,0.4,0.74
13842,0.07,0.06,0,0.02
9223,0.46,0.01,0,0
6590,0.48,0.53,0.01,0.23
7242,0.47,0.22,0.16,0.07
11325,0.1,0.08,0.06,0.04
7269,0.12,0.08,0.66,0.06
