Station,Zone,Type,TH,ESC,LFT,TRV,NRInterchange,StepFree,EntryCounts
Acton Town,3,Outer Suburb,1,0,0,0,-,-,9379
Aldgate,1,City,1,0,0,0,-,-,12779
Aldgate East,1,City,2,0,0,0,-,-,19298
Alperton,4,Outer Suburb,1,0,0,0,-,-,4804
Amersham,9,Outer Suburb,1,0,0,0,Yes,One platform only,3812
Angel,1,City,1,6,0,0,-,-,29351
Archway,01-02,Inner Suburb,1,2,0,0,-,-,14356
Arnos Grove,4,Outer Suburb,1,0,0,0, ,-,7317
Arsenal,2,Inner Suburb,1,0,0,0,-,-,4592
Baker Street,1,Tourist,2,6,0,0,-,-,51324
Balham,3,Outer Suburb,1,2,0,0,Yes,-,20943
Bank / Monument,1,City,2,15,4,2,-,Partial,96148
Barbican,1,City,1,0,0,0,Yes,-,19773
Barking,4,Outer Suburb,1,0,1,0,Yes,Yes,25756
Barkingside,4,Outer Suburb,1,0,0,0,-,One platform only,2390
Barons Court,2,Inner Suburb,1,0,0,0,-,-,12540
Bayswater,1,Tourist,1,0,0,0,-,-,7933
Becontree,5,Outer Suburb,1,0,0,0,-,-,5657
Belsize Park,2,Inner Suburb,1,0,3,0,-,-,9829
Bermondsey,2,Inner Suburb,1,3,0,0,-,Yes,14908
Bethnal Green,2,Inner Suburb,1,3,0,0,-,-,24593
Blackfriars,1,City,1,2,0,0,Yes,-,22895
Blackhorse Road,3,Outer Suburb,1,2,0,0,Yes,-,13766
Bond Street,1,Shopping,1,8,0,0,-,-,25818
Borough,1,Inner Suburb,1,0,2,0,-,One platform only,8315
Boston Manor,4,Outer Suburb,1,0,0,0,-,-,3766
Bounds Green,03-Apr,Outer Suburb,1,2,0,0,-,-,10250
Bow Road,2,Inner Suburb,1,0,0,0,-,-,9191
Brent Cross,3,Outer Suburb,1,0,0,0,-,-,3773
Brixton,2,Inner Suburb,1,2,2,0,Yes,Yes,45020
Bromley-by-Bow,02-Mar,Inner Suburb,1,0,0,0,-,-,5550
Buckhurst Hill,5,Outer Suburb,1,0,0,0,-,-,3447
Burnt Oak,4,Outer Suburb,1,0,0,0,-,-,6727
Caledonian Road,2,Inner Suburb,1,0,2,0,-,Yes,9614
Camden Town,2,Inner Suburb,1,2,0,0,-,-,30646
Canada Water,2,Inner Suburb,1,8,0,0,-,Yes,17237
Canary Wharf,2,City,2,20,0,0,-,Yes,87683
Canning Town,3,Inner Suburb,1,10,0,0,Yes,Yes,15808
Cannon Street,1,City,1,0,0,0,Yes,-,11054
Canons Park,5,Outer Suburb,1,0,0,0,-,-,4262
Chalfont & Latimer,8,Outer Suburb,1,0,0,0,Yes,Yes,2526
Chalk Farm,2,Inner Suburb,1,0,2,0,-,-,9001
Chancery Lane,1,City,1,5,0,0,-,-,28971
Charing Cross,1,Terminus,2,10,0,0,Yes,-,34665
Chesham,9,Outer Suburb,1,0,0,0,-,Yes,1536
Chigwell,4,Outer Suburb,1,0,0,0,-,-,1064
Chiswick Park,3,Outer Suburb,1,0,0,0,-,-,3580
Chorleywood,7,Outer Suburb,1,0,0,0,Yes,Yes,1911
Clapham Common,2,Inner Suburb,1,2,0,0,-,-,12394
Clapham North,2,Inner Suburb,1,2,0,0,Yes,-,8800
Clapham South,02-Mar,Inner Suburb,1,2,0,0,-,-,13297
Cockfosters,5,Outer Suburb,1,0,0,0,-,-,2815
Colindale,4,Outer Suburb,1,0,0,0,-,-,8889
Colliers Wood,3,Outer Suburb,1,2,0,0,-,-,9978
Covent Garden,1,Tourist,1,0,4,0,-,-,17133
Croxley,7,Outer Suburb,1,0,0,0,-,-,1776
Dagenham East,5,Outer Suburb,1,0,0,0,-,-,4520
Dagenham Heathway,5,Outer Suburb,1,0,0,0,-,Yes,9521
